"Team","Shot_Type","Sub_Type","X","Y","Shot_Outcome"
"Cairns Taipans","3pt","Jump Shot",24.61,10.36,"Miss"
"Cairns Taipans","3pt","Jump Shot",29.45,78.89,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",69.1,80.42,"Make"
"Cairns Taipans","2pt","Layup",8.44,45.49,"Miss"
"South East Melbourne Phoenix","2pt","Floating Jump Shot",88.98,38.58,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",65.91,57.77,"Miss"
"South East Melbourne Phoenix","2pt","Tip In",95,50,"Make"
"Cairns Taipans","2pt","Driving Layup",9.17,52.78,"Make"
"Cairns Taipans","2pt","Layup",91.04,52.98,"Miss"
"Cairns Taipans","2pt","Layup",92.17,54.32,"Miss"
"Cairns Taipans","3pt","Jump Shot",84.55,4.99,"Miss"
"South East Melbourne Phoenix","2pt","Layup",7.72,55.09,"Make"
"Cairns Taipans","2pt","Jump Shot",90.83,43.38,"Miss"
"South East Melbourne Phoenix","2pt","Layup",7.72,53.93,"Miss"
"South East Melbourne Phoenix","2pt","Layup",6.59,47.22,"Miss"
